EstimatedCostToDate,IncidentSize,TotalIncidentPersonnel,InitialLatitude,InitialLongitude
1889104.0,350.0,94.0,33.362338,-117.102869
800000.0,1050.0,0.0,36.56737,-119.183199
5000.0,0.1,3.0,29.8616,-93.77264
42000.0,225.0,10.0,41.55564,-113.6218
200000.0,1128.8,59.0,40.783333,-115.516667
2000000.0,1225.0,111.0,47.63933,-121.6054
820000.0,825.0,0.0,35.3806,-104.2667
10000.0,2200.0,41.0,40.8824,-105.057617
10000.0,301.0,5.0,35.32872,-96.94342
1000000.0,761.0,22.0,40.532983,-122.124667
65000000.0,27476.0,0.0,42.963022,-122.366985
11656365.0,212504.4,3.0,64.832402,-151.16764
125000.0,1270.0,8.0,37.52174,-103.6698
35000000.0,83261.0,45.0,41.69892,-121.477
10571453.0,95335.1,12.0,67.006813,-147.25692
29123714.0,12367.0,12.0,47.645017,-116.018533
53450.0,10.0,8.0,35.32891,-96.94387
19400000.0,6196.0,2.0,46.629867,-121.5142
315000.0,300.0,101.0,45.84449,-120.2101
1150000.0,2359.0,1.0,45.93077,-122.0664
400000.0,0.1,0.0,34.51051,-118.109
306250.0,1000.0,96.0,37.624332,-121.771016
1000000.0,11.8,72.0,34.3571,-117.6244
150000.0,150.0,4.0,35.97369,-121.3005
50000.0,500.0,32.0,36.96664,-119.91191
394721.0,5042.0,3.0,38.520981,-121.201927
23000000.0,13192.3,0.0,47.128143,-115.354225
70000.0,427.0,22.0,46.6284,-108.4938
30000.0,1200.0,7.0,35.27557,-95.99247
30000.0,150.0,29.0,36.59178,-95.36267
30000.0,100.0,2.0,34.928299,-96.641403
220000.0,1139.0,5.0,42.2534,-116.8707
530000.0,532.0,88.0,38.165873,-122.211671
8313000.0,5513.0,65.0,37.023934,-121.513722
142000.0,788.0,100.0,37.083636,-121.101557
17577000.0,15619.0,1.0,34.33412933,-118.33798981
15971721.0,2935.0,93.0,43.0565,-122.6045
135000.0,25000.0,0.0,35.80232,-103.8416
1300000.0,15592.0,11.0,41.78472,-103.7003
10000.0,250.0,3.0,45.97704,-107.3065
351368.0,297.0,4.0,34.77458,-118.50195
0.0,328.0,82.0,33.985989,-117.415249
0.0,50564.25,46.0,43.510483,-122.675989
60000.0,4033.0,82.0,46.72601,-118.2644
30000.0,1068.0,2.0,36.37478,-96.32634
3100000.0,1011.0,37.0,33.99246,-117.05921
10000.0,244.0,52.0,45.70086,-109.0734
42890561.0,43158.0,58.0,43.243523,-122.554077
240000.0,5680.0,96.0,46.6397,-117.8147
41900.0,10.0,4.0,34.48661,-97.15225
25000.0,346.0,4.0,38.59412,-104.6729
35000.0,10.0,2.0,34.72504,-99.38633
440000.0,580.0,2.0,45.9733,-117.2589
4155000.0,203.0,1.0,48.1819,-112.9665
500000.0,10000.0,102.0,45.67009,-121.0339
137000.0,350.0,32.0,45.97688,-119.1066
3700000.0,24301.0,3.0,43.6167,-116.2
10000.0,387.0,14.0,35.20467,-95.98743
1000.0,1.0,1.0,46.740398,-115.495903
68700.0,500.0,54.0,46.34922,-117.4384
1525000.0,1403.0,5.0,48.63872,-117.0495
900000.0,57167.0,37.0,36.510201,-99.3582
0.0,171.0,5.0,63.934,-145.60267
350000.0,350.0,0.0,33.984818,-117.217944
303259.0,1.0,93.0,34.7521,-118.6923
35000.0,334.0,33.0,35.99411,-96.38166
10000.0,240.0,8.0,36.014198,-95.127197
127000.0,3438.7,4.0,36.61947,-96.00462
23000.0,1080.0,8.0,36.7188889,-101.2669444
3256960.0,158.0,57.0,41.348099,-123.786499
53316014.0,261.0,344.0,39.532251,-121.568783
50000.0,2958.0,3.0,31.32271,-108.8072
462541.0,2192.0,32.0,37.068124,-121.213195
540000.0,500.0,0.0,47.93911,-119.5019
200000.0,13500.0,67.0,39.7335,-74.7208
27000.0,938.5,4.0,36.62361,-100.3489
314000.0,386.0,165.0,46.73132,-120.7106
