EstimatedCostToDate,IncidentSize,TotalIncidentPersonnel,InitialLatitude,InitialLongitude,FireDiscoveryDateTime,PrimaryFuelModel
1889104.0,350.0,94.0,33.362338,-117.102869,6/23/2021 9:28:23 PM,Chaparral (6 feet)
800000.0,1050.0,0.0,36.56737,-119.183199,6/22/2020 7:10:31 AM,Tall Grass (2.5 feet)
5000.0,0.1,3.0,29.8616,-93.77264,12/10/2022 1:09:19 AM,Tall Grass (2.5 feet)
42000.0,225.0,10.0,41.55564,-113.6218,8/4/2019 11:57:00 PM,Chaparral (6 feet)
200000.0,1128.8,59.0,40.783333,-115.516667,8/30/2017 12:11:00 AM,Brush (2 feet)
2000000.0,1225.0,111.0,47.63933,-121.6054,9/2/2022 8:08:00 PM,Closed Timber Litter
820000.0,825.0,0.0,35.3806,-104.2667,7/13/2020 10:18:00 PM,Short Grass (1 foot)
10000.0,2200.0,41.0,40.8824,-105.057617,3/4/2017 11:15:00 PM,Short Grass (1 foot)
10000.0,301.0,5.0,35.32872,-96.94342,3/17/2018 12:30:00 AM,Timber (Grass and Understory)
1000000.0,761.0,22.0,40.532983,-122.124667,6/20/2021 10:30:28 PM,Tall Grass (2.5 feet)
65000000.0,27476.0,0.0,42.963022,-122.366985,8/13/2017 9:40:36 PM,Timber (Litter and Understory)
11656365.0,212504.4,3.0,64.832402,-151.16764,6/26/2022 12:01:26 AM,Timber (Grass and Understory)
125000.0,1270.0,8.0,37.52174,-103.6698,6/16/2016 2:28:00 AM,Timber (Grass and Understory)
35000000.0,83261.0,45.0,41.69892,-121.477,7/22/2020 11:24:40 PM,Tall Grass (2.5 feet)
10571453.0,95335.1,12.0,67.006813,-147.25692,7/20/2019 4:00:00 PM,Brush (2 feet)
29123714.0,12367.0,12.0,47.645017,-116.018533,7/10/2021 11:24:18 PM,Timber (Grass and Understory)
53450.0,10.0,8.0,35.32891,-96.94387,3/16/2018 6:46:00 PM,Tall Grass (2.5 feet)
19400000.0,6196.0,2.0,46.629867,-121.5142,8/9/2022 4:43:00 PM,Closed Timber Litter
315000.0,300.0,101.0,45.84449,-120.2101,7/20/2019 11:59:00 PM,Tall Grass (2.5 feet)
1150000.0,2359.0,1.0,45.93077,-122.0664,9/23/2022 1:09:00 AM,Closed Timber Litter
400000.0,0.1,0.0,34.51051,-118.109,6/15/2022 9:27:00 PM,Chaparral (6 feet)
306250.0,1000.0,96.0,37.624332,-121.771016,8/16/2020 12:19:43 PM,Tall Grass (2.5 feet)
1000000.0,11.8,72.0,34.3571,-117.6244,6/17/2017 6:49:00 PM,Brush (2 feet)
150000.0,150.0,4.0,35.97369,-121.3005,10/2/2018 7:32:00 PM,Tall Grass (2.5 feet)
50000.0,500.0,32.0,36.96664,-119.91191,7/2/2020 8:14:50 PM,Tall Grass (2.5 feet)
394721.0,5042.0,3.0,38.520981,-121.201927,6/12/2020 6:41:43 PM,Tall Grass (2.5 feet)
23000000.0,13192.3,0.0,47.128143,-115.354225,7/17/2021 2:19:08 AM,Closed Timber Litter
70000.0,427.0,22.0,46.6284,-108.4938,7/9/2016 1:30:00 AM,Short Grass (1 foot)
30000.0,1200.0,7.0,35.27557,-95.99247,3/15/2018 6:15:00 PM,Timber (Litter and Understory)
30000.0,150.0,29.0,36.59178,-95.36267,3/20/2017 6:47:00 PM,Timber (Litter and Understory)
30000.0,100.0,2.0,34.928299,-96.641403,2/22/2016 9:49:00 PM,Hardwood Litter
220000.0,1139.0,5.0,42.2534,-116.8707,8/24/2017 8:17:00 PM,Brush (2 feet)
530000.0,532.0,88.0,38.165873,-122.211671,10/6/2019 10:14:21 PM,Tall Grass (2.5 feet)
8313000.0,5513.0,65.0,37.023934,-121.513722,7/5/2020 8:52:53 PM,Tall Grass (2.5 feet)
142000.0,788.0,100.0,37.083636,-121.101557,7/27/2020 2:58:57 PM,Tall Grass (2.5 feet)
17577000.0,15619.0,1.0,34.33412933,-118.33798981,12/5/2017 11:42:29 AM,Chaparral (6 feet)
